imo,load_type,quantity
9305659,containers,0
8301802,oil,0
9897999,bulk,0
8972754,oil,0
9072185,bulk,0
9706580,bulk,0
9209295,oil,0
8110370,oil,0
9361407,cargo,0
9107382,cargo,0
9195731,cargo,0
9592123,bulk,0
7806609,cargo,0
9438224,oil,0
9781011,bulk,0
9871402,containers,0
9727168,bulk,0
9548328,bulk,0
8793873,cargo,0
9475715,bulk,0
7932654,fish,0
9435820,containers,0
9939785,chemical,0
9315460,cargo,0
9020950,containers,0
8359988,cargo,0
9064322,containers,0
9834727,chemical,0
9249984,vehicles,0
9246463,chemical,0
9424041,chemical,0
9306990,containers,0
9322310,containers,0
8708244,vehicles,0
8611790,containers,0
9719939,bulk,0
1149877,containers,0
8902589,cargo,0
9749099,cargo,0
8414415,oil,0
7925986,containers,0
9948231,containers,0
9753832,chemical,0
9325441,containers,0
9700158,ore,0
9021356,cargo,0
6708238,cargo,0
8111764,cargo,0
9280770,bulk,0
9779006,bulk,0
9494864,cement,0
9575137,bulk,0
9219525,vehicles,0
9233741,oil,0
1031551,cargo,0
9064695,cargo,0
8401315,bulk,0
9324239,bulk,0
8685129,cargo,0
8230601,oil,0
9274549,chemical,0
9469924,bulk,0
9007104,chemical,0
7408081,oil,0
9047075,bulk,0
9206205,bulk,0
9863302,containers,0
9509138,containers,0
9005182,chemical,0
9520352,cargo,0
9226918,containers,0
9299771,oil,0
9577434,bulk,0
9398462,containers,0
9187643,oil,0
8865200,cargo,0
9708760,chemical,0
9842255,bulk,0
8865171,cargo,0
9590230,bulk,0
8317100,asphalt,0
9660619,bulk,0
9582879,chemical,0
9625293,containers,0
9333474,chemical,0
9845829,bulk,0
9288538,bulk,0
9157973,containers,0
1112329,cargo,0
9164744,chemical,0
9054872,oil,0
8616611,livestock,0
9947146,containers,0
9002489,oil,0
9194359,cargo,0
9315939,chemical,0
9566605,cargo,0
9876438,oil,0
9213739,cargo,0
9600061,cargo,0
9146156,chemical,0
9406958,cargo,0
9405538,chemical,0
9767584,bulk,0
9456446,bulk,0
6919954,cargo,0
9073115,cargo,0
9749958,bulk,0
9713179,bulk,0
9150482,cargo,0
6816906,cement,0
9493200,bulk,0
8131568,fish,0
9247431,oil,0
9236690,containers,0
9713894,vehicles,0
9349538,containers,0
8020123,cargo,0
9788007,cargo,0
9778052,vehicles,0
9294551,oil,0
9282687,chemical,0
9748617,oil,0
9848065,cargo,0
9150236,cargo,0
9337810,chemical,0
9718882,chemical,0
9132519,bulk,0
6703745,cargo,0
9880374,chemical,0
8117835,cargo,0
9337456,containers,0
9721841,cargo,0
9355719,cargo,0
9859882,LPG,0
8131934,bulk,0
1092842,cargo,0
9700146,bulk,0
8709121,vehicles,0
8360559,oil,0
9798947,LPG,0
9987299,containers,0
9520950,bulk,0
7830480,oil,0
9020209,cargo,0
8102256,bulk,0
9252242,containers,0
9682978,oil,0
9675030,cargo,0
8662438,cargo,0
9217034,containers,0
9031973,chemical,0
9314090,bulk,0
9958535,containers,0
9839234,chemical,0
8702410,cargo,0
9410210,oil,0
9326342,cement,0
9422809,bulk,0
7359278,refrigerated,0
8502834,timber,0
1074723,chemical,0
9580039,bulk,0
9240330,containers,0
9758741,bulk,0
9051648,cargo,0
8502872,containers,0
9630731,bulk,0
9455399,bulk,0
7207530,bulk,0
9323883,bulk,0
9463085,containers,0
7718278,cement,0
8700163,oil,0
9956006,oil,0
9920435,refrigerated,0
9446697,bulk,0
8133566,cargo,0
9273442,oil,0
9365415,cargo,0
9565871,cargo,0
9644926,bulk,0
9490856,bulk,0
9343754,chemical,0
9831701,oil,0
9746279,chemical,0
9088213,cargo,0
9213296,oil,0
9407823,oil,0
9045742,cargo,0
9410181,oil,0
9724738,containers,0
8014942,bulk,0
8423612,refrigerated,0
9337755,LNG,0
1065796,cargo,0
8696520,oil,0
9476824,chemical,0
9523196,bulk,0
9259197,oil,0
9747948,bulk,0
9605073,bulk,0
9753648,chemical,0
9292199,oil,0
9517628,containers,0
8410782,cargo,0
9490777,bulk,0
9624172,bulk,0
9434400,bulk,0
9254513,bulk,0
8844359,cargo,0
9295000,oil,0
9683415,chemical,0
9663116,bulk,0
9427627,oil,0
9164627,bulk,0
1014072,LPG,0
9700471,chemical,0
9226774,cargo,0
9444962,containers,0
8810190,refrigerated,0
1085069,bulk,0
9245770,containers,0
9990167,cargo,0
8312643,cargo,0
9634713,bulk,0
9540144,containers,0
1059888,bulk,0
9906764,chemical,0
9936408,containers,0
8417558,cargo,0
9461063,bulk,0
8937314,cargo,0
9309100,chemical,0
8517346,refrigerated,0
8434594,cargo,0
9031791,cargo,0
9154543,containers,0
9310628,bulk,0
9678836,cargo,0
1096161,chemical,0
1028736,oil,0
9894583,chemical,0
1030375,cargo,0
8418746,bulk,0
9958717,bulk,0
9750749,LNG,0
9023122,cargo,0
7944267,cargo,0
9131230,cargo,0
9102942,bulk,0
8889854,cargo,0
9985655,bulk,0
9643790,bulk,0
7369883,oil,0
9445021,bulk,0
8804531,refrigerated,0
9113044,cargo,0
9061253,containers,0
9368936,LPG,0
1036458,oil,0
9565168,oil,0
9670054,bulk,0
9435296,oil,0
9530319,cargo,0
9217101,cargo,0
9005168,LPG,0
9476848,bulk,0
8721014,cargo,0
7929683,oil,0
8921327,chemical,0
9940095,bulk,0
9847906,cargo,0
9949170,bulk,0
9018751,bulk,0
9346756,bulk,0
9661352,cargo,0
9886732,LNG,0
8103420,oil,0
9971719,oil,0
8922357,LPG,0
9353723,containers,0
9529530,cargo,0
8848941,cargo,0
9793820,bulk,0
1026740,cargo,0
9196266,cargo,0
9034690,chemical,0
9385025,containers,0
9698800,bulk,0
7340784,cargo,0
9567996,bulk,0
9741401,containers,0
9594561,bulk,0
9083316,oil,0
9417141,cargo,0
7364560,cargo,0
9411288,chemical,0
9521899,bulk,0
9629043,containers,0
9780859,containers,0
7718967,cargo,0
7627601,cargo,0
9230359,bulk,0
8303018,cargo,0
9066370,oil,0
8942905,cargo,0
8935732,oil,0
8666848,cargo,0
9375604,chemical,0
7700609,cargo,0
8510104,cargo,0
9790189,cargo,0
9329710,LPG,0
9620126,bulk,0
9753894,cargo,0
9613941,bulk,0
9295189,bulk,0
9510046,cargo,0
9573751,bulk,0
