imo,description,ship_type
9532446,Tug,Other
9976965,Container Ship,Cargo
9823936,General Cargo,Cargo
7434937,Bulk Carrier,Cargo
9780500,Deck Cargo Ship,Cargo
8412120,Bulk Carrier,Cargo
9017719,"Inland, Motor Tanker, liquid cargo, type C",Tanker
9378620,Crude Oil Tanker,Tanker
9833199,LPG Tanker,Tanker
9351127,Container Ship,Cargo - Hazard A (Major)
9659373,Multi Purpose Offshore Vessel,Other
8716447,Fishing Vessel,Fishing
8810188,LPG Tanker,Tanker - Hazard B
1027043,Tug,Tug
9618795,Self Discharging Bulk Carrier,Cargo
9214044,Oil/Chemical Tanker,Tanker
9254551,Bulk Carrier,Cargo
7609207,General Cargo,Cargo
9791664,Tug,Tug
9071674,Oil Products Tanker,Tanker
7726550,Tug,Tug
1063217,Deck Cargo Ship,Cargo
9748069,Bulk Carrier,Cargo
8704846,Trawler,Fishing
7202566,Fishing Vessel,Fishing
9401855,Bulk Carrier,
7722138,General Cargo,Cargo
7411430,Chemical Tanker,Tanker - Hazard A (Major)
9237204,Bulk Carrier,Cargo
9783320,Bulk Carrier,Cargo
7398444,Trawler,Fishing
9861184,Towing Vessel,Tug
9779032,General Cargo,Cargo
9495416,Bulk Carrier,Cargo
8910380,Bulk Carrier,Cargo
9701449,Utility Vessel,Cargo
9615597,Landing Craft,Cargo
6901593,General Cargo,Cargo
9429223,Container Ship,Cargo - Hazard D (Recognizable)
9841756,Bulk Carrier,Cargo
9269623,Passenger Ship,Passenger
9600762,Tug,Tug
8607907,High Speed Craft,High Speed Craft
8808094,Vehicles Carrier,Passenger
9401570,LPG/Chemical Tanker,Tanker
5418197,Icebreaker,Other
8648341,Fishing Vessel,Fishing
9410894,Crude Oil Tanker,Tanker
8805884,General Cargo,Cargo
9338723,Vehicles Carrier,Cargo
9795127,Crude Oil Tanker,Tanker
9607459,Bulk Carrier,Cargo
8952900,General Cargo,Cargo
9707285,Multi Purpose Offshore Vessel,Dredger
9773882,Tug,Other
9203590,Vehicles Carrier,Cargo
9898905,Towing Vessel,Tug
9436006,Crude Oil Tanker,Tanker
5348512,Trawler,Other
